ID + pdf_title,ID,post_title,post_name,guid,pdf_id,pdf_title,pdf_url_original,pdf_url,equal?
16488The-financial-diaries-investigating-the-financial-lives-of-the-poor-in-south-africa-2005 0,16488,Digital Savings Groups,digital-savings-groups,https://bfaglobal.com/?p=16488,7,The-financial-diaries-investigating-the-financial-lives-of-the-poor-in-south-africa-2005 0,https://bfaglobal.com/wp-content/uploads/2020/06/the-financial-diaries-investigating-the-financial-lives-of-the-poor-in-south-africa-2005_0.pdf,,FALSE
16493Banco-azteca-impact-in-peru-report-june-2018,16493,The Impact of Banco Azteca in Peru,the-impact-of-banco-azteca-in-peru,https://bfaglobal.com/?p=16493,1,Banco-azteca-impact-in-peru-report-june-2018,https://bfaglobal.com/wp-content/uploads/2018/06/banco-azteca-impact-in-peru-report-june-2018.pdf,https://bfaglobal.com/wp-content/uploads/2018/06/Banco-Azteca-Impact-in-Peru-Report-June-2018.pdf,TRUE
19507Fmt-digital-id-landscape-report-1,19507,Financial Digital Identity: Landscaping a digital financial identity for SADC,financial-digital-identity-landscaping-a-digital-financial-identity-for-sadc,https://bfaglobal.com/?p=19507,1,Fmt-digital-id-landscape-report-1,https://bfaglobal.com/wp-content/uploads/2018/02/fmt-digital-id-landscape-report-1.pdf,https://bfaglobal.com/wp-content/uploads/2018/02/FMT-Digital-ID-landscape-report-1.pdf,TRUE
1951515-31-01-cashlite-are-we-there-yet-report,19515,Person-to-government (P2G) payment digitisation: Lessons from Kenya,person-to-government-p2g-payment-digitisation-lessons-from-kenya,https://bfaglobal.com/?p=19515,1,15-31-01-cashlite-are-we-there-yet-report,https://bfaglobal.com/wp-content/uploads/2020/06/15-31-01-cashlite-are-we-there-yet-report.pdf,,FALSE
19523Know-your-customer requirements summary revised 15-09-1,19523,Know Your Customer Requirements for DFS in Uganda,know-your-customer-requirements-for-dfs-in-uganda,https://bfaglobal.com/?p=19523,1,Know-your-customer requirements summary revised 15-09-1,https://bfaglobal.com/wp-content/uploads/2017/09/know-your-customer_requirements_summary_revised_15-09-1.pdf,https://bfaglobal.com/wp-content/uploads/2017/09/know-your-customer_requirements_summary_revised_15-09-1.pdf,TRUE
19523Study on kyc requirements revised 15-09-1,19523,Know Your Customer Requirements for DFS in Uganda,know-your-customer-requirements-for-dfs-in-uganda,https://bfaglobal.com/?p=19523,2,Study on kyc requirements revised 15-09-1,https://bfaglobal.com/wp-content/uploads/2017/09/study_on_kyc_requirements_revised_15-09-1.pdf,https://bfaglobal.com/wp-content/uploads/2017/09/study_on_kyc_requirements_revised_15-09-1.pdf,TRUE
19532Infocus-note-1-understanding-clients,19532,InFocus,infocus,https://bfaglobal.com/?p=19532,1,Infocus-note-1-understanding-clients,https://bfaglobal.com/wp-content/uploads/2017/07/infocus-note-1-understanding-clients.pdf,https://bfaglobal.com/wp-content/uploads/2017/07/InFocus-Note-1-Understanding-clients.pdf,TRUE
19532Infocus-note-2-segmentation-results-1,19532,InFocus,infocus,https://bfaglobal.com/?p=19532,2,Infocus-note-2-segmentation-results-1,https://bfaglobal.com/wp-content/uploads/2017/07/infocus-note-2-segmentation-results-1.pdf,https://bfaglobal.com/wp-content/uploads/2017/07/InFocus-Note-2-Segmentation-results-1.pdf,TRUE
19532Infocus-note-3-demand-meets-supply-1,19532,InFocus,infocus,https://bfaglobal.com/?p=19532,3,Infocus-note-3-demand-meets-supply-1,https://bfaglobal.com/wp-content/uploads/2017/07/infocus-note-3-demand-meets-supply-1.pdf,https://bfaglobal.com/wp-content/uploads/2017/07/InFocus-Note-3-Demand-meets-supply-1.pdf,TRUE
19537Mastercard western-union-refugee-settlement-report-final-1,19537,Smart Communities,digital-ecosystems,https://bfaglobal.com/?p=19537,1,Mastercard western-union-refugee-settlement-report-final-1,https://bfaglobal.com/wp-content/uploads/2017/07/mastercard_western-union-refugee-settlement-report-final-1.pdf,https://bfaglobal.com/wp-content/uploads/2017/07/Mastercard_Western-Union-Refugee-Settlement-Report-FINAL-1.pdf,TRUE
19543Alternative-delivery-channels-for-financial-inclusion-april2017,19543,Alternative Delivery Channels for Financial Inclusion: Opportunities And Challenges In African Banks And Microfinance Institutions 2016,alternative-delivery-channels-for-financial-inclusion-opportunities-and-challenges-in-african-banks-and-microfinance-institutions-2016,https://bfaglobal.com/?p=19543,1,Alternative-delivery-channels-for-financial-inclusion-april2017,https://bfaglobal.com/wp-content/uploads/2017/03/alternative-delivery-channels-for-financial-inclusion-april2017.pdf,https://bfaglobal.com/wp-content/uploads/2017/03/ALTERNATIVE-DELIVERY-CHANNELS-FOR-FINANCIAL-INCLUSION-April2017.pdf,TRUE
19547Cusp-report-ks-final v2 small-pdf,19547,Credit at the Cusp,credit-at-the-cusp,https://bfaglobal.com/?p=19547,1,Cusp-report-ks-final v2 small-pdf,https://bfaglobal.com/wp-content/uploads/2016/09/cusp-report-ks-final_v2_small-pdf.pdf,https://bfaglobal.com/wp-content/uploads/2016/09/CUSP-Report-KS-Final_v2_small-PDF.pdf,TRUE
1955116-04-15-open-apis-stuey-final-draft-1,19551,"Payment APIs: What, Why, and for Whom?: An Introduction to Payment Interfaces & the Kenyan Market",payment-apis-what-why-and-for-whom-an-introduction-to-payment-interfaces-the-kenyan-market,https://bfaglobal.com/?p=19551,1,16-04-15-open-apis-stuey-final-draft-1,https://bfaglobal.com/wp-content/uploads/2016/03/16-04-15-open-apis-stuey-final-draft-1.pdf,https://bfaglobal.com/wp-content/uploads/2016/03/16-04-15-Open-APIs-Stuey-Final-Draft-1.pdf,TRUE
19557Betterthancashalliance-journeytowardcashlite-1,19557,"The Journey Toward ‘Cash Lite’: Addressing Poverty, Saving Money and Increasing Transparency by Accelerating the Shift to Electronic Payments",the-journey-toward-cash-lite-addressing-poverty-saving-money-and-increasing-transparency-by-accelerating-the-shift-to-electronic-payments,https://bfaglobal.com/?p=19557,1,Betterthancashalliance-journeytowardcashlite-1,https://bfaglobal.com/wp-content/uploads/2015/09/betterthancashalliance-journeytowardcashlite-1.pdf,https://bfaglobal.com/wp-content/uploads/2015/09/BetterThanCashAlliance-JourneyTowardCashLite-1.pdf,TRUE
19561Digitatization-of-microinsurance-gates-march-2015,19561,Can the digitization of micro insurance make all the difference? Assessing the growth potential of digital micro insurance,can-the-digitalization-of-microinsurance-make-all-the-difference-assessing-the-growth-potential-of-digital-microinsurance,https://bfaglobal.com/?p=19561,1,Digitatization-of-microinsurance-gates-march-2015,https://bfaglobal.com/wp-content/uploads/2015/03/digitatization-of-microinsurance-gates-march-2015.pdf,https://bfaglobal.com/wp-content/uploads/2015/03/Digitatization-of-Microinsurance-Gates-March-2015.pdf,TRUE
19567Publications-2014-merchants-kenya-epayments-kopo-kopo-julie-zollmann-digital-retail-payments-in-kenya-making-them-matter-for-merchants-1,19567,Digital Retail Payments in Kenya: Making them Matter for Merchants,digital-retail-payments-in-kenyamaking-them-matter-for-merchants,https://bfaglobal.com/?p=19567,1,Publications-2014-merchants-kenya-epayments-kopo-kopo-julie-zollmann-digital-retail-payments-in-kenya-making-them-matter-for-merchants-1,https://bfaglobal.com/wp-content/uploads/2014/10/publications-2014-merchants-kenya-epayments-kopo-kopo-julie-zollmann-digital-retail-payments-in-kenya-making-them-matter-for-merchants-1.pdf,https://bfaglobal.com/wp-content/uploads/2014/10/publications-2014-Merchants-Kenya-Epayments-Kopo-Kopo-Julie-Zollmann-Digital-Retail-Payments-in-Kenya-Making-Them-Matter-For-Merchants-1.pdf,TRUE
19569Publications-2014-financialinclusion-linkages-consumerprotection-cgap-inclusion-stability-integrity-protection-observations-and-lessons-for-the-i-sip-methodology-from-pakistan-1,19569,"Inclusion, Stability, Integrity, And Protection: Observations and Lessons for The I-Sip Methodology from Pakistan",inclusion-stability-integrity-and-protection-observations-and-lessons-for-the-i-sip-methodology-from-pakistan,https://bfaglobal.com/?p=19569,1,Publications-2014-financialinclusion-linkages-consumerprotection-cgap-inclusion-stability-integrity-protection-observations-and-lessons-for-the-i-sip-methodology-from-pakistan-1,https://bfaglobal.com/wp-content/uploads/2014/06/publications-2014-financialinclusion-linkages-consumerprotection-cgap-inclusion-stability-integrity-protection-observations-and-lessons-for-the-i-sip-methodology-from-pakistan-1.pdf,https://bfaglobal.com/wp-content/uploads/2014/06/publications-2014-FinancialInclusion-Linkages-ConsumerProtection-CGAP-Inclusion-Stability-Integrity-Protection-Observations-and-Lessons-for-the-I-SIP-Methodology-from-Pakistan-1.pdf,TRUE
19573Focus-note-electronic-g2p-payments-april-2014-1,19573,Electronic G2P Payments: Evidence from Four Lower-Income Countries,electronic-g2p-payments-evidence-from-four-lower-income-countries,https://bfaglobal.com/?p=19573,1,Focus-note-electronic-g2p-payments-april-2014-1,https://bfaglobal.com/wp-content/uploads/2014/04/focus-note-electronic-g2p-payments-april-2014-1.pdf,https://bfaglobal.com/wp-content/uploads/2014/04/Focus-Note-Electronic-G2P-Payments-April-2014-1.pdf,TRUE
19573Focus-note-electronic-g2p-payments-april-2014-spanish-1,19573,Electronic G2P Payments: Evidence from Four Lower-Income Countries,electronic-g2p-payments-evidence-from-four-lower-income-countries,https://bfaglobal.com/?p=19573,2,Focus-note-electronic-g2p-payments-april-2014-spanish-1,https://bfaglobal.com/wp-content/uploads/2014/04/focus-note-electronic-g2p-payments-april-2014-spanish-1.pdf,https://bfaglobal.com/wp-content/uploads/2014/04/Focus-Note-Electronic-G2P-Payments-April-2014-Spanish-1.pdf,TRUE
19573Focus-note-electronic-g2p-payments-april-2014-french-1,19573,Electronic G2P Payments: Evidence from Four Lower-Income Countries,electronic-g2p-payments-evidence-from-four-lower-income-countries,https://bfaglobal.com/?p=19573,3,Focus-note-electronic-g2p-payments-april-2014-french-1,https://bfaglobal.com/wp-content/uploads/2014/04/focus-note-electronic-g2p-payments-april-2014-french-1.pdf,https://bfaglobal.com/wp-content/uploads/2014/04/Focus-Note-Electronic-G2P-Payments-April-2014-French-1.pdf,TRUE
19578Publications-2014-tanzania-dfs-mobilemoney-gsma-simone-di-castri-laragidvani-enabling-mobile-money-policies-in-tanzania-1,19578,Enabling mobile money policies in Tanzania: A “test and learn” approach to enabling market-led digital financial services,enabling-mobile-money-policies-in-tanzania-a-test-and-learn-approach-to-enabling-market-led-digital-financial-services,https://bfaglobal.com/?p=19578,1,Publications-2014-tanzania-dfs-mobilemoney-gsma-simone-di-castri-laragidvani-enabling-mobile-money-policies-in-tanzania-1,https://bfaglobal.com/wp-content/uploads/2014/02/publications-2014-tanzania-dfs-mobilemoney-gsma-simone-di-castri-laragidvani-enabling-mobile-money-policies-in-tanzania-1.pdf,https://bfaglobal.com/wp-content/uploads/2014/02/publications-2014-Tanzania-DFS-Mobilemoney-GSMA-Simone-Di-Castri-LaraGidvani-Enabling-Mobile-Money-Policies-in-Tanzania-1.pdf,TRUE
19582Bfa mexico-g2p-review 2013oct-1,19582,Correspondent Banking in Mexico’s Rural Areas: Lessons from a G2P Payment Digitization and Financial Inclusion Project,correspondent-banking-in-mexicos-rural-areas-lessons-from-a-g2p-payment-digitization-and-financial-inclusion-project,https://bfaglobal.com/?p=19582,1,Bfa mexico-g2p-review 2013oct-1,https://bfaglobal.com/wp-content/uploads/2013/10/bfa_mexico-g2p-review_2013oct-1.pdf,https://bfaglobal.com/wp-content/uploads/2013/10/BFA_Mexico-G2P-Review_2013OCT-1.pdf,TRUE
19586Publications-2013-gender-fsps-tanzania-bangladesh-pakistan-mpesa-women-unlocking-the-potential-women-and-mobile-financial-services-in-emerging-markets-1,19586,Unlocking the Potential: Women and Mobile Financial Services in Emerging Markets,unlocking-the-potential-women-and-mobile-financial-services-in-emerging-markets-2,https://bfaglobal.com/?p=19586,1,Publications-2013-gender-fsps-tanzania-bangladesh-pakistan-mpesa-women-unlocking-the-potential-women-and-mobile-financial-services-in-emerging-markets-1,https://bfaglobal.com/wp-content/uploads/2013/06/publications-2013-gender-fsps-tanzania-bangladesh-pakistan-mpesa-women-unlocking-the-potential-women-and-mobile-financial-services-in-emerging-markets-1.pdf,https://bfaglobal.com/wp-content/uploads/2013/06/publications-2013-Gender-FSPs-Tanzania-Bangladesh-Pakistan-Mpesa-Women-Unlocking-the-Potential-Women-and-Mobile-Financial-Services-in-Emerging-Markets-1.pdf,TRUE
19590Regulatory-impact-assessment bfa-concept-note-1,19590,Regulatory Impact Assessment Methodology,regulatory-impact-assessment-methodology,https://bfaglobal.com/?p=19590,1,Regulatory-impact-assessment bfa-concept-note-1,https://bfaglobal.com/wp-content/uploads/2018/02/regulatory-impact-assessment_bfa-concept-note-1.pdf,https://bfaglobal.com/wp-content/uploads/2018/02/Regulatory-Impact-Assessment_BFA-Concept-Note-1.pdf,TRUE
19590Regulatory-impact-assessment bfa-concept-note-1,19590,Regulatory Impact Assessment Methodology,regulatory-impact-assessment-methodology,https://bfaglobal.com/?p=19590,2,Regulatory-impact-assessment bfa-concept-note-1,https://bfaglobal.com/wp-content/uploads/2018/02/regulatory-impact-assessment_bfa-concept-note-1.pdf,https://bfaglobal.com/wp-content/uploads/2018/02/Regulatory-Impact-Assessment_BFA-Concept-Note-1.pdf,TRUE
20468Charge-white-paper-from-last-mile-to-first-touch-the-changing-role-of-aggregators-in-digital-finance-ecosystems,20468,From Last Mile to First Touch: The Changing Role of Aggregators in Digital Finance Ecosystems,from-last-mile-to-first-touch-the-changing-role-of-aggregators-in-digital-finance-ecosystems-2,https://bfaglobal.com/?p=20468,1,Charge-white-paper-from-last-mile-to-first-touch-the-changing-role-of-aggregators-in-digital-finance-ecosystems,https://bfaglobal.com/wp-content/uploads/2019/03/charge-white-paper-from-last-mile-to-first-touch-the-changing-role-of-aggregators-in-digital-finance-ecosystems.pdf,https://bfaglobal.com/wp-content/uploads/2019/03/CHARGE-White-Paper-From-Last-Mile-to-First-Touch-The-Changing-Role-of-Aggregators-in-Digital-Finance-Ecosystems.pdf,TRUE
20507Bfa digital-commerce-white-paper final feb-2019-aoda-1,20507,Digital Commerce and Youth Employment in Africa,digital-commerce-and-youth-employment-in-africa,https://bfaglobal.com/?p=20507,1,Bfa digital-commerce-white-paper final feb-2019-aoda-1,https://bfaglobal.com/wp-content/uploads/2019/03/bfa_digital-commerce-white-paper_final_feb-2019-aoda-1.pdf,https://bfaglobal.com/wp-content/uploads/2019/03/BFA_Digital-Commerce-White-Paper_FINAL_Feb-2019-aoda-1.pdf,TRUE
20508Paygowaterbrief-finalapril2019-1,20508,The Potential of PAYGo for Achieving Water and Sanitation for All (SDG 6),achieving-paygo-water-and-sanitation-for-all-sdg-6,https://bfaglobal.com/?p=20508,1,Paygowaterbrief-finalapril2019-1,https://bfaglobal.com/wp-content/uploads/2019/03/paygowaterbrief-finalapril2019-1.pdf,https://bfaglobal.com/wp-content/uploads/2019/03/PAYGoWaterBrief-FINALApril2019-1.pdf,TRUE
20511Fibr-artificial intelligence final may2018-1,20511,Artificial Intelligence: Practical Superpowers,artificial-intelligence-practical-superpowers,https://bfaglobal.com/?p=20511,1,Fibr-artificial intelligence final may2018-1,https://bfaglobal.com/wp-content/uploads/2019/03/fibr-artificial_intelligence_final_may2018-1.pdf,https://bfaglobal.com/wp-content/uploads/2019/03/FIBR-Artificial_Intelligence_FINAL_MAY2018-1.pdf,TRUE
20511Fibr-ai-report-infographic,20511,Artificial Intelligence: Practical Superpowers,artificial-intelligence-practical-superpowers,https://bfaglobal.com/?p=20511,2,Fibr-ai-report-infographic,https://bfaglobal.com/wp-content/uploads/2019/03/fibr-ai-report-infographic.pdf,https://bfaglobal.com/wp-content/uploads/2019/03/FIBR-AI-Report-Infographic.pdf,TRUE
20647Gafis-focusnote1,20647,Gateway to Financial Innovations for Savings (GAFIS) Insights,gafis,https://bfaglobal.com/?p=20647,1,Gafis-focusnote1,https://bfaglobal.com/wp-content/uploads/2017/04/gafis-focusnote1.pdf,https://bfaglobal.com/wp-content/uploads/2017/04/GAFIS-FocusNote1.pdf,TRUE
20647Gafis fn2 stylizingsavingsbehaviortobetterservepoorclients,20647,Gateway to Financial Innovations for Savings (GAFIS) Insights,gafis,https://bfaglobal.com/?p=20647,2,Gafis fn2 stylizingsavingsbehaviortobetterservepoorclients,https://bfaglobal.com/wp-content/uploads/2017/04/gafis_fn2_stylizingsavingsbehaviortobetterservepoorclients.pdf,https://bfaglobal.com/wp-content/uploads/2017/04/GAFIS_FN2_StylizingSavingsBehaviortoBetterServePoorClients.pdf,TRUE
20647Gafis fn3 impactofgatewaydynamicsonbizcase,20647,Gateway to Financial Innovations for Savings (GAFIS) Insights,gafis,https://bfaglobal.com/?p=20647,3,Gafis fn3 impactofgatewaydynamicsonbizcase,https://bfaglobal.com/wp-content/uploads/2017/04/gafis_fn3_impactofgatewaydynamicsonbizcase.pdf,https://bfaglobal.com/wp-content/uploads/2017/04/GAFIS_FN3_ImpactofGatewayDynamicsonBizCase.pdf,TRUE
20647Focus-note-4-final,20647,Gateway to Financial Innovations for Savings (GAFIS) Insights,gafis,https://bfaglobal.com/?p=20647,4,Focus-note-4-final,https://bfaglobal.com/wp-content/uploads/2017/04/focus-note-4-final.pdf,https://bfaglobal.com/wp-content/uploads/2017/04/Focus-Note-4-FINAL.pdf,TRUE
20653Optix-focus-note-1-july-2015,20653,OPTIX,optix,https://bfaglobal.com/?p=20653,1,Optix-focus-note-1-july-2015,https://bfaglobal.com/wp-content/uploads/2017/07/optix-focus-note-1-july-2015.pdf,https://bfaglobal.com/wp-content/uploads/2017/07/OPTIX-FOCUS-NOTE-1-July-2015.pdf,TRUE
20653Optix-focus-note-1-spanish-final,20653,OPTIX,optix,https://bfaglobal.com/?p=20653,2,Optix-focus-note-1-spanish-final,https://bfaglobal.com/wp-content/uploads/2017/07/optix-focus-note-1-spanish-final.pdf,https://bfaglobal.com/wp-content/uploads/2017/07/OPTIX-FOCUS-NOTE-1-SPANISH-FINAL.pdf,TRUE
20653Optix-focus-note-2-2016-spanish-final-1,20653,OPTIX,optix,https://bfaglobal.com/?p=20653,3,Optix-focus-note-2-2016-spanish-final-1,https://bfaglobal.com/wp-content/uploads/2017/07/optix-focus-note-2-2016-spanish-final-1.pdf,https://bfaglobal.com/wp-content/uploads/2017/07/OPTIX-FOCUS-NOTE-2-2016-SPANISH-FINAL-1.pdf,TRUE
20653Optix-focus-note-2-2016-final,20653,OPTIX,optix,https://bfaglobal.com/?p=20653,4,Optix-focus-note-2-2016-final,https://bfaglobal.com/wp-content/uploads/2017/07/optix-focus-note-2-2016-final.pdf,https://bfaglobal.com/wp-content/uploads/2017/07/OPTIX-FOCUS-NOTE-2-2016-FINAL.pdf,TRUE
20661De-fiado-english-revised-2019,20661,Mexico Financial Diaries,mexico-financial-diaries,https://bfaglobal.com/?p=20661,1,De-fiado-english-revised-2019,https://bfaglobal.com/wp-content/uploads/2017/07/de-fiado-english-revised-2019.pdf,https://bfaglobal.com/wp-content/uploads/2017/07/DE-FIADO-English-revised-2019.pdf,TRUE
20661De-fiado-print-1,20661,Mexico Financial Diaries,mexico-financial-diaries,https://bfaglobal.com/?p=20661,2,De-fiado-print-1,https://bfaglobal.com/wp-content/uploads/2020/06/de-fiado-print-1.pdf,https://bfaglobal.com/wp-content/uploads/2020/06/DE-FIADO-print-1.pdf,TRUE
20661Del-otro-lado-remittances-2016-en,20661,Mexico Financial Diaries,mexico-financial-diaries,https://bfaglobal.com/?p=20661,3,Del-otro-lado-remittances-2016-en,https://bfaglobal.com/wp-content/uploads/2017/07/del-otro-lado-remittances-2016-en.pdf,https://bfaglobal.com/wp-content/uploads/2017/07/Del-otro-lado-remittances-2016-EN.pdf,TRUE
20661Estirando-english-compressed-1,20661,Mexico Financial Diaries,mexico-financial-diaries,https://bfaglobal.com/?p=20661,4,Estirando-english-compressed-1,https://bfaglobal.com/wp-content/uploads/2017/07/estirando-english-compressed-1.pdf,https://bfaglobal.com/wp-content/uploads/2017/07/ESTIRANDO-English-compressed-1.pdf,TRUE
20661Estirando-el-gasto-spanish-revised-2019-1,20661,Mexico Financial Diaries,mexico-financial-diaries,https://bfaglobal.com/?p=20661,5,Estirando-el-gasto-spanish-revised-2019-1,https://bfaglobal.com/wp-content/uploads/2017/07/estirando-el-gasto-spanish-revised-2019-1.pdf,https://bfaglobal.com/wp-content/uploads/2017/07/ESTIRANDO-EL-GASTO-Spanish-revised-2019-1.pdf,TRUE
20661El-niágara-en-bicicleta-english,20661,Mexico Financial Diaries,mexico-financial-diaries,https://bfaglobal.com/?p=20661,6,El-niágara-en-bicicleta-english,https://bfaglobal.com/wp-content/uploads/2017/07/el-niágara-en-bicicleta-english.pdf,https://bfaglobal.com/wp-content/uploads/2017/07/El-Niágara-en-Bicicleta-English.pdf,TRUE
20661El-niágara-en-bicicleta-spanish-revised-2019,20661,Mexico Financial Diaries,mexico-financial-diaries,https://bfaglobal.com/?p=20661,7,El-niágara-en-bicicleta-spanish-revised-2019,https://bfaglobal.com/wp-content/uploads/2017/07/el-niágara-en-bicicleta-spanish-revised-2019.pdf,https://bfaglobal.com/wp-content/uploads/2017/07/El-Niágara-en-Bicicleta-Spanish-revised-2019.pdf,TRUE
20661Del-otro-lado-remittances-2016-en,20661,Mexico Financial Diaries,mexico-financial-diaries,https://bfaglobal.com/?p=20661,8,Del-otro-lado-remittances-2016-en,https://bfaglobal.com/wp-content/uploads/2017/07/del-otro-lado-remittances-2016-en.pdf,https://bfaglobal.com/wp-content/uploads/2017/07/Del-otro-lado-remittances-2016-EN.pdf,TRUE
20661El-ni%c3%a1gara-en-bicicleta-spanish-revised-2019,20661,Mexico Financial Diaries,mexico-financial-diaries,https://bfaglobal.com/?p=20661,9,El-ni%c3%a1gara-en-bicicleta-spanish-revised-2019,https://bfaglobal.com/wp-content/uploads/2019/07/el-ni%c3%a1gara-en-bicicleta-spanish-revised-2019.pdf,,FALSE
20667Regulatory-impact-assessment bfa-concept-note-1,20667,Fiji Regulatory Impact Assessment,fiji-regulatory-impact-assessment,https://bfaglobal.com/?p=20667,1,Regulatory-impact-assessment bfa-concept-note-1,https://bfaglobal.com/wp-content/uploads/2017/07/regulatory-impact-assessment_bfa-concept-note-1.pdf,https://bfaglobal.com/wp-content/uploads/2018/02/Regulatory-Impact-Assessment_BFA-Concept-Note-1.pdf,FALSE
2067217-03-20-flexipay-i-learning-document-bfa-1,20672,Flexipay Payment System,flexipay-payment-system,https://bfaglobal.com/?p=20672,1,17-03-20-flexipay-i-learning-document-bfa-1,https://bfaglobal.com/wp-content/uploads/2017/07/17-03-20-flexipay-i-learning-document-bfa-1.pdf,https://bfaglobal.com/wp-content/uploads/2017/07/17-03-20-Flexipay-I-learning-document-BFA-1.pdf,TRUE
20677Kenya financial diaries overview report final,20677,Kenya Financial Diaries,kenya-financial-diaries,https://bfaglobal.com/?p=20677,1,Kenya financial diaries overview report final,https://bfaglobal.com/wp-content/uploads/2017/07/kenya_financial_diaries_overview_report_final.pdf,https://bfaglobal.com/wp-content/uploads/2017/07/Kenya_Financial_Diaries_Overview_Report_FINAL.pdf,TRUE
2067714-08-11 diaries executive summary-1,20677,Kenya Financial Diaries,kenya-financial-diaries,https://bfaglobal.com/?p=20677,2,14-08-11 diaries executive summary-1,https://bfaglobal.com/wp-content/uploads/2017/07/14-08-11_diaries_executive_summary-1.pdf,https://bfaglobal.com/wp-content/uploads/2017/07/14-08-11_Diaries_Executive_Summary-1.pdf,TRUE
20677Final-small-b-biashara-19102016,20677,Kenya Financial Diaries,kenya-financial-diaries,https://bfaglobal.com/?p=20677,3,Final-small-b-biashara-19102016,https://bfaglobal.com/wp-content/uploads/2017/07/final-small-b-biashara-19102016.pdf,https://bfaglobal.com/wp-content/uploads/2017/07/FINAL-SMALL-B-BIASHARA-19102016.pdf,TRUE
